ID,Name,Country of Incorporation,Country of Incorporation,GICS Sector Name,GICS Sector Name
000686.SZ,Northeast Securities Co Ltd,China (Mainland),China (Mainland),Financials,Financials
600155.SS,Polaris Bay Group Co Ltd,China (Mainland),China (Mainland),Financials,Financials
000712.SZ,Guangdong Golden Dragon Development Inc,China (Mainland),China (Mainland),Financials,Financials
000750.SZ,Sealand Securities Co Ltd,China (Mainland),China (Mainland),Financials,Financials
600705.SS,AVIC Industry Finance Holdings Co Ltd,China (Mainland),China (Mainland),Financials,Financials
000627.SZ,Hubei Biocause Pharmaceutical Co Ltd,China (Mainland),China (Mainland),Financials,Financials
600109.SS,Sinolink Securities Co Ltd,China (Mainland),China (Mainland),Financials,Financials
600621.SS,Shanghai Chinafortune Co Ltd,China (Mainland),China (Mainland),Financials,Financials
600061.SS,SDIC Capital Co Ltd,China (Mainland),China (Mainland),Financials,Financials
600369.SS,Southwest Securities Co Ltd,China (Mainland),China (Mainland),Financials,Financials
000617.SZ,CNPC Capital Co Ltd,China (Mainland),China (Mainland),Financials,Financials
600053.SS,Kunwu Jiuding Investment Holdings Co Ltd,China (Mainland),China (Mainland),Financials,Financials
600643.SS,Shanghai AJ Group Co Ltd,China (Mainland),China (Mainland),Financials,Financials
000776.SZ,GF Securities Co Ltd,China (Mainland),China (Mainland),Financials,Financials
000001.SZ,Ping An Bank Co Ltd,China (Mainland),China (Mainland),Financials,Financials
000563.SZ,Shaanxi International Trust Co Ltd,China (Mainland),China (Mainland),Financials,Financials
600000.SS,Shanghai Pudong Development Bank Co Ltd,China (Mainland),China (Mainland),Financials,Financials
000728.SZ,Guoyuan Securities Co Ltd,China (Mainland),China (Mainland),Financials,Financials
000567.SZ,Hainan Haide Capital Management Co Ltd,China (Mainland),China (Mainland),Financials,Financials
600816.SS,J-Yuan Trust Co Ltd,China (Mainland),China (Mainland),Financials,Financials
600830.SS,Sunny Loan Top Co Ltd,China (Mainland),China (Mainland),Financials,Financials
600837.SS,Haitong Securities Co Ltd,China (Mainland),China (Mainland),Financials,Financials
000783.SZ,Changjiang Securities Co Ltd,China (Mainland),China (Mainland),Financials,Financials
600120.SS,Zhejiang Orient Financial Holdings Group Co Ltd,China (Mainland),China (Mainland),Financials,Financials
600016.SS,China Minsheng Banking Corp Ltd,China (Mainland),China (Mainland),Financials,Financials
000987.SZ,Guangzhou Yuexiu Capital Holdings Group Co Ltd,China (Mainland),China (Mainland),Financials,Financials
600390.SS,Minmetals Capital Co Ltd,China (Mainland),China (Mainland),Financials,Financials
000958.SZ,SPIC Industry Finance Holdings Co Ltd,China (Mainland),China (Mainland),Financials,Financials
600318.SS,Anhui Xinli Finance Co Ltd,China (Mainland),China (Mainland),Financials,Financials
600599.SS,Panda Financial Holding Corp Ltd,China (Mainland),China (Mainland),Financials,Financials
600036.SS,China Merchants Bank Co Ltd,China (Mainland),China (Mainland),Financials,Financials
600030.SS,CITIC Securities Co Ltd,China (Mainland),China (Mainland),Financials,Financials
600015.SS,Hua Xia Bank Co Ltd,China (Mainland),China (Mainland),Financials,Financials
2328.HK,PICC Property and Casualty Co Ltd,China (Mainland),China (Mainland),Financials,Financials
601988.SS,Bank of China Ltd,China (Mainland),China (Mainland),Financials,Financials
601398.SS,Industrial and Commercial Bank of China Ltd,China (Mainland),China (Mainland),Financials,Financials
601628.SS,China Life Insurance Co Ltd,China (Mainland),China (Mainland),Financials,Financials
601166.SS,Industrial Bank Co Ltd,China (Mainland),China (Mainland),Financials,Financials
601318.SS,Ping An Insurance Group Co of China Ltd,China (Mainland),China (Mainland),Financials,Financials
601998.SS,China Citic Bank Corp Ltd,China (Mainland),China (Mainland),Financials,Financials
601328.SS,Bank of Communications Co Ltd,China (Mainland),China (Mainland),Financials,Financials
601939.SS,China Construction Bank Corp,China (Mainland),China (Mainland),Financials,Financials
601009.SS,Bank of Nanjing Co Ltd,China (Mainland),China (Mainland),Financials,Financials
002142.SZ,Bank of Ningbo Co Ltd,China (Mainland),China (Mainland),Financials,Financials
601169.SS,Bank of Beijing Co Ltd,China (Mainland),China (Mainland),Financials,Financials
601788.SS,Everbright Securities Co Ltd,China (Mainland),China (Mainland),Financials,Financials
601601.SS,China Pacific Insurance Group Co Ltd,China (Mainland),China (Mainland),Financials,Financials
601099.SS,Pacific Securities Co Ltd,China (Mainland),China (Mainland),Financials,Financials
600999.SS,China Merchants Securities Co Ltd,China (Mainland),China (Mainland),Financials,Financials
002316.SZ,Jilin Asia Link Technology Development Co Ltd,China (Mainland),China (Mainland),Financials,Financials
300033.SZ,Hithink RoyalFlush Information Network Co Ltd,China (Mainland),China (Mainland),Financials,Financials
601688.SS,Huatai Securities Co Ltd,China (Mainland),China (Mainland),Financials,Financials
300059.SZ,East Money Information Co Ltd,China (Mainland),China (Mainland),Financials,Financials
601288.SS,Agricultural Bank of China Ltd,China (Mainland),China (Mainland),Financials,Financials
601818.SS,China Everbright Bank Co Ltd,China (Mainland),China (Mainland),Financials,Financials
601229.SS,Bank of Shanghai Co Ltd,China (Mainland),China (Mainland),Financials,Financials
6963.HK,陽光保險集團股份有限公司,China (Mainland),China (Mainland),Financials,Financials
002500.SZ,Shanxi Securities Co Ltd,China (Mainland),China (Mainland),Financials,Financials
601336.SS,New China Life Insurance Company Ltd,China (Mainland),China (Mainland),Financials,Financials
601377.SS,Industrial Securities Co Ltd,China (Mainland),China (Mainland),Financials,Financials
1551.HK,Guangzhou Rural Commercial Bank Co Ltd,China (Mainland),China (Mainland),Financials,Financials
601577.SS,Bank of Changsha Co Ltd,China (Mainland),China (Mainland),Financials,Financials
601519.SS,Shanghai DZH Ltd,China (Mainland),China (Mainland),Financials,Financials
601077.SS,Chongqing Rural Commercial Bank Co Ltd,China (Mainland),China (Mainland),Financials,Financials
600919.SS,Bank of Jiangsu Co Ltd,China (Mainland),China (Mainland),Financials,Financials
601825.SS,Shanghai Rural Commercial Bank Co Ltd,China (Mainland),China (Mainland),Financials,Financials
601236.SS,Hongta Securities Co Ltd,China (Mainland),China (Mainland),Financials,Financials
601901.SS,Founder Securities Co Ltd,China (Mainland),China (Mainland),Financials,Financials
601555.SS,Soochow Securities Co Ltd,China (Mainland),China (Mainland),Financials,Financials
002673.SZ,Western Securities Co Ltd,China (Mainland),China (Mainland),Financials,Financials
002647.SZ,Rendong Holdings Co Ltd,China (Mainland),China (Mainland),Financials,Financials
603123.SS,Beijing Cuiwei Tower Co Ltd,China (Mainland),China (Mainland),Financials,Financials
002670.SZ,Guosheng Financial Holding Inc,China (Mainland),China (Mainland),Financials,Financials
002839.SZ,Jiangsu Zhangjiagang Rural Commercial Bank Co Ltd,China (Mainland),China (Mainland),Financials,Financials
601128.SS,Jiangsu Changshu Rural Commercial Bank Co Ltd,China (Mainland),China (Mainland),Financials,Financials
3698.HK,Huishang Bank Corp Ltd,China (Mainland),China (Mainland),Financials,Financials
601838.SS,Bank of Chengdu Co Ltd,China (Mainland),China (Mainland),Financials,Financials
002736.SZ,Guosen Securities Co Ltd,China (Mainland),China (Mainland),Financials,Financials
603323.SS,Jiangsu Suzhou Rural Commercial Bank Co Ltd,China (Mainland),China (Mainland),Financials,Financials
600926.SS,Bank of Hangzhou Co Ltd,China (Mainland),China (Mainland),Financials,Financials
601997.SS,Bank of Guiyang Co Ltd,China (Mainland),China (Mainland),Financials,Financials
601375.SS,Central China Securities Co Ltd,China (Mainland),China (Mainland),Financials,Financials
601878.SS,Zheshang Securities Co Ltd,China (Mainland),China (Mainland),Financials,Financials
